VslID,Berth,Cargo Type,Flag/Country Code,Foreign Coastal Indicator,Commodity Code,GRT,NRT,Dead Weight,ATA - Outer Roads,Actual Time of Arriv,Actual Date of Berthing,Actual Time of Berth,Actual Date of Unberthing,Actual Time of Unberthing,ATD - Outer Roads,Actual Time of Depar,PBD (Port),PBD (Non Port),PBD Total,SWB (TOTAL),TRT (TOTAL),NOR Date,NOR time,TRT NOR,PILOT BOARDING DATE,PILOT BOARDING TIME,PILOT UNBOARDING DATE,PILOT UNBOARDING TIME,TRT BOARDING & DEBOARDING,MT,Teus,MnthYear,Idle Hrs
0100405PIHSD,SPM,Liquid Bulk,MARSHALL ISLANDS,F,SPM CRUDE OTHERS,81722,52054,158885,14.04.2025,11:30:00,14.04.2025,13:36:00,16.04.2025,00:18:00,16.04.2025,03:30:00,00:00:00,00:00:00,00:00:00,40:00:00,,,,,14.04.2025,12:00:00,16.04.2025,2:30:00,38:30:00,139186.091,,Apr-25,4
1100405AHSKA,Q6,Dry Bulk Mechanical,INDIA,C,CEMENT,17688,7271,26500,01.04.2025,08:00:00,02.04.2025,16:18:00,12.04.2025,17:18:00,12.04.2025,19:44:00,30:42:00,00:00:00,30:42:00,275:44:00,,,,,02.04.2025,14:42:00,12.04.2025,18:45:00,244:03:00,25600.012,,Apr-25,18.4
2100405DROCN,SPM,Liquid Bulk,INDIA,F,SPM CRUDE MIDDLE EAST,81076,52045,159152,08.04.2025,06:50:00,08.04.2025,08:54:00,09.04.2025,16:42:00,09.04.2025,19:33:00,00:00:00,00:00:00,00:00:00,36:43:00,,,,,08.04.2025,7:30:00,09.04.2025,18:30:00,35:00:00,137363.101,,Apr-25,4.1
3100405IREVA,V2,Containerised,INDIA,F,CONTAINER,27104,11856,33704,12.04.2025,06:12:00,12.04.2025,18:42:00,13.04.2025,10:36:00,13.04.2025,12:47:00,10:30:00,00:00:00,10:30:00,30:35:00,,,,,12.04.2025,16:42:00,13.04.2025,11:45:00,19:03:00,13584,848,Apr-25,
4100405GNOK-,Q4,Liquid Bulk,HONG KONG,F,METHANOL,13753,7006,22171,06.04.2025,13:06:00,07.04.2025,20:36:00,08.04.2025,14:36:00,08.04.2025,17:32:00,30:00:00,00:00:00,30:00:00,52:26:00,,,,,07.04.2025,19:06:00,08.04.2025,16:30:00,21:24:00,2899.22,,Apr-25,7.2
5100405SSERP,V2,Containerised,INDIA,C,CONTAINER,18233,10564,26207,11.04.2025,02:00:00,11.04.2025,03:30:00,12.04.2025,06:24:00,12.04.2025,08:45:00,00:00:00,00:00:00,00:00:00,30:45:00,,,,,11.04.2025,2:18:00,12.04.2025,7:45:00,29:27:00,30463,1772,Apr-25,
9100405EERAN,BTP,Dry Bulk Mechanical,SINGAPORE,C,CEMENT,15198,5541,21150,07.04.2025,08:40:00,09.04.2025,07:36:00,11.04.2025,01:00:00,11.04.2025,03:01:00,45:20:00,00:00:00,45:20:00,90:21:00,,,,,09.04.2025,6:00:00,11.04.2025,2:00:00,44:00:00,19800.022,,Apr-25,9.9
1200405ADARA,V3,Containerised,INDIA,C,CONTAINER,40952,25095,55461,11.04.2025,05:00:00,11.04.2025,06:36:00,12.04.2025,02:00:00,12.04.2025,04:11:00,00:00:00,00:00:00,00:00:00,23:11:00,,,,,11.04.2025,5:30:00,12.04.2025,3:10:00,21:40:00,11258,1669,Apr-25,
2200405ECARB,V3,Containerised,PANAMA,F,CONTAINER,32691,12184,29688,14.04.2025,07:50:00,14.04.2025,09:24:00,14.04.2025,21:06:00,14.04.2025,23:02:00,00:00:00,00:00:00,00:00:00,15:12:00,,,,,14.04.2025,8:00:00,14.04.2025,22:00:00,14:00:00,16299,1073,Apr-25,
3200405ILANA,V3,Containerised,INDIA,C,CONTAINER,35581,19407,44135,15.04.2025,05:55:00,15.04.2025,07:18:00,15.04.2025,22:24:00,16.04.2025,00:45:00,00:00:00,00:00:00,00:00:00,18:50:00,,,,,15.04.2025,5:55:00,15.04.2025,23:45:00,17:50:00,24246,1526,Apr-25,
4200405II-RE,V2,Containerised,LIBERIA,F,CONTAINER,27828,13386,37548,12.04.2025,05:42:00,12.04.2025,08:18:00,12.04.2025,15:12:00,12.04.2025,17:38:00,02:08:00,00:00:00,02:08:00,11:56:00,,,,,12.04.2025,7:50:00,12.04.2025,16:36:00,8:46:00,4200,462,Apr-25,
5200405SDIHC,BTP,Liquid Bulk,INDIA,C,OIL FURNACE OIL,8542,4117,13127,07.04.2025,06:45:00,07.04.2025,09:00:00,08.04.2025,20:36:00,08.04.2025,23:00:00,00:00:00,00:00:00,00:00:00,40:15:00,,,,,07.04.2025,7:50:00,08.04.2025,22:00:00,38:10:00,6515.637,,Apr-25,11.7
6200405SWOLL,COT,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,28098,11645,45887,08.04.2025,02:55:00,08.04.2025,04:42:00,09.04.2025,12:12:00,09.04.2025,14:33:00,00:00:00,00:00:00,00:00:00,35:38:00,,,,,08.04.2025,3:00:00,09.04.2025,13:30:00,34:30:00,36974.773,,Apr-25,7.6
